date,facebook,instagram
2021-01-01T00:00:00,16150,20962
2021-01-02T00:00:00,12264,18392
2021-01-03T00:00:00,10064,21663
2021-01-04T00:00:00,16750,28292
2021-01-05T00:00:00,14916,35110
2021-01-06T00:00:00,5602,11623
2021-01-07T00:00:00,25368,20527
2021-01-08T00:00:00,10389,24813
2021-01-09T00:00:00,7112,14812
2021-01-10T00:00:00,11903,20655
2021-01-11T00:00:00,32985,23480
2021-01-12T00:00:00,7609,22400
2021-01-13T00:00:00,10541,24050
2021-01-14T00:00:00,15433,19370
2021-01-15T00:00:00,9940,25346
2021-01-16T00:00:00,8561,25017
2021-01-17T00:00:00,5813,29736
2021-01-18T00:00:00,27666,24670
2021-01-19T00:00:00,37768,21352
2021-01-20T00:00:00,25051,13866
2021-01-21T00:00:00,19083,22071
2021-01-22T00:00:00,12549,22155
2021-01-23T00:00:00,10429,22205
2021-01-24T00:00:00,7770,17586
2021-01-25T00:00:00,4496,18100
2021-01-26T00:00:00,4880,16201
2021-01-27T00:00:00,6365,6424
2021-01-28T00:00:00,33253,23447
2021-01-29T00:00:00,41703,16452
2021-01-30T00:00:00,30359,26228
2021-01-31T00:00:00,28999,14546
2021-02-01T00:00:00,34471,2921
2021-02-02T00:00:00,68519,14430
2021-02-03T00:00:00,35426,8167
2021-02-04T00:00:00,15254,7066
2021-02-05T00:00:00,37225,4785
2021-02-06T00:00:00,32406,27997
2021-02-07T00:00:00,23644,18405
2021-02-08T00:00:00,11868,17010
2021-02-09T00:00:00,8552,18788
2021-02-10T00:00:00,5874,8166
2021-02-11T00:00:00,16267,18427
2021-02-12T00:00:00,19960,36883
2021-02-13T00:00:00,8233,18067
2021-02-14T00:00:00,6843,13003
2021-02-15T00:00:00,6142,23475
2021-02-16T00:00:00,48768,18023
2021-02-17T00:00:00,23910,9187
2021-02-18T00:00:00,19269,4235
2021-02-19T00:00:00,7732,19726
2021-02-20T00:00:00,13283,6480
2021-02-21T00:00:00,27111,2711
2021-02-22T00:00:00,9258,11316
2021-02-23T00:00:00,9060,7566
2021-02-24T00:00:00,19706,22916
2021-02-25T00:00:00,9575,5334
2021-02-26T00:00:00,7901,1956
2021-02-27T00:00:00,6673,1085
2021-02-28T00:00:00,6659,19898
2021-03-01T00:00:00,5282,5301
2021-03-02T00:00:00,6176,1732
2021-03-03T00:00:00,11022,22497
2021-03-04T00:00:00,15032,23900
2021-03-05T00:00:00,7933,42130
2021-03-06T00:00:00,6391,29529
2021-03-07T00:00:00,6849,6934
2021-03-08T00:00:00,11111,29777
2021-03-09T00:00:00,28314,4785
2021-03-10T00:00:00,19328,11178
2021-03-11T00:00:00,11484,4032
2021-03-12T00:00:00,13248,35266
2021-03-13T00:00:00,6860,18249
2021-03-14T00:00:00,4399,4588
2021-03-15T00:00:00,4837,1641
2021-03-16T00:00:00,3941,21413
2021-03-17T00:00:00,24287,24732
2021-03-18T00:00:00,30286,18111
2021-03-19T00:00:00,11122,21915
2021-03-20T00:00:00,10262,10576
2021-03-21T00:00:00,42898,19388
2021-03-22T00:00:00,72315,23799
2021-03-23T00:00:00,34231,17477
2021-03-24T00:00:00,36098,6794
2021-03-25T00:00:00,30236,6097
2021-03-26T00:00:00,11544,32185
2021-03-27T00:00:00,10825,13958
2021-03-28T00:00:00,24884,19788
2021-03-29T00:00:00,25491,13152
2021-03-30T00:00:00,28699,31566
2021-03-31T00:00:00,29223,5771
2021-04-01T00:00:00,22967,2110
2021-04-02T00:00:00,19369,25132
2021-04-03T00:00:00,11612,25076
2021-04-04T00:00:00,26520,11074
2021-04-05T00:00:00,20193,9208
2021-04-06T00:00:00,25738,22766
2021-04-07T00:00:00,38925,9949
2021-04-08T00:00:00,27771,10897
2021-04-09T00:00:00,33512,19568
2021-04-10T00:00:00,52568,5202
2021-04-11T00:00:00,33273,23796
2021-04-12T00:00:00,17676,5461
2021-04-13T00:00:00,15127,37026
2021-04-14T00:00:00,16753,23447
2021-04-15T00:00:00,21663,7973
2021-04-16T00:00:00,7863,4694
2021-04-17T00:00:00,6365,33119
2021-04-18T00:00:00,19790,21811
2021-04-19T00:00:00,7215,31737
